Name,AgeGroup,Gender,CasesTotal,DeathsTotal,RecoveriesTotal
Italy ,0-9,Male,981,1,
Italy ,10-19,Male,1654,0,
Italy ,20-29,Male,5521,10,
Italy ,30-39,Male,7868,41,
Italy ,40-49,Male,12312,198,
Italy ,50-59,Male,18963,850,
Italy ,60-69,Male,18290,2461,
Italy ,70-79,Male,18883,5926,
Italy ,80-89,Male,16357,7190,
Italy ,>90,Male,3786,1772,
Italy ,0-9,Female ,867,3,
Italy ,10-19,Female ,1658,0,
Italy ,20-29,Female ,7070,4,
Italy ,30-39,Female ,9654,20,
Italy ,40-49,Female ,17076,70,
Italy ,50-59,Female ,21836,251,
Italy ,60-69,Female ,12175,758,
Italy ,70-79,Female ,13940,2521,
Italy ,80-89,Female ,23715,5501,
Italy ,>90,Female ,14513,3440,
Australia ,0-9,Male,50,,
Australia ,10-19,Male,120,,
Australia ,20-29,Male,680,,
Australia ,30-39,Male,600,,
Australia ,40-49,Male,520,1,
Australia ,50-59,Male,560,1,
Australia ,60-69,Male,580,9,
Australia ,70-79,Male,420,19,
Australia ,80-89,Male,110,18,
Australia ,>90,Male,10,9,
Australia ,0-9,Female ,50,,
Australia ,10-19,Female ,115,,
Australia ,20-29,Female ,820,,
Australia ,30-39,Female ,520,,
Australia ,40-49,Female ,400,,
Australia ,50-59,Female ,580,1,
Australia ,60-69,Female ,560,4,
Australia ,70-79,Female ,340,12,
Australia ,80-89,Female ,60,17,
Australia ,>90,Female ,20,11,
