Country ,RegionName,Date,NoNewCases,NoDeaths,NoRecoveries,CumulativeCases,CumulativeDeaths,CumulativeRecoveries,,
Australia,Australian Capital Territory,1/22/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/23/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/24/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/25/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/26/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/27/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/28/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/29/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/30/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,1/31/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/01/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/02/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/03/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/04/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/05/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/06/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/07/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/08/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/09/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/10/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/11/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/12/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/13/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/14/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/15/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/16/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/17/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/18/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/19/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/20/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/21/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/22/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/23/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/24/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/25/2020,0,0,0,0,0,0,,
Australia,Australian Capital Territory,2/26/2020,0,0,0,0,0,0,,
